feature,importance_rank,importance,ks_training_vs_experiment_portscan,ks_training_vs_experiment_normal,experiment_portscan_outside_training_range_pct,experiment_portscan_to_training_median_ratio,cicids2017_training_portscan_count,cicids2017_training_portscan_mean,cicids2017_training_portscan_std,cicids2017_training_portscan_min,cicids2017_training_portscan_median,cicids2017_training_portscan_p95,cicids2017_training_portscan_max,cicids2017_training_portscan_percentage_zero,experiment_c_portscan_count,experiment_c_portscan_mean,experiment_c_portscan_std,experiment_c_portscan_min,experiment_c_portscan_median,experiment_c_portscan_p95,experiment_c_portscan_max,experiment_c_portscan_percentage_zero,experiment_c_normal_http_count,experiment_c_normal_http_mean,experiment_c_normal_http_std,experiment_c_normal_http_min,experiment_c_normal_http_median,experiment_c_normal_http_p95,experiment_c_normal_http_max,experiment_c_normal_http_percentage_zero
fwd_packet_length_std,42,0.00810793022505172,0.006936893537953348,0.9370733259927052,0.0,,72655,0.06965497881174088,2.101796865463257,0.0,0.0,0.0,190.5868377685547,99.27740692312986,1000,0.001885618083178997,0.059628479182720184,0.0,0.0,0.0,1.8856180906295776,99.9,32,27.685001373291016,7.26814079284668,0.0,29.58415412902832,29.58415412902832,29.58415412902832,6.25
destination_port,43,0.008107063223032228,0.8454571605532999,0.6675392264813158,0.0,0.14190530195633683,72655,8521.0458984375,13371.9814453125,0.0,3527.0,49155.0,65389.0,0.005505471061867731,1000,500.5,288.8194274902344,1.0,500.5,950.05,1000.0,0.0,32,7746.5625,1469.8035888671875,137.0,8080.0,8080.0,8080.0,0.0
fwd_packet_length_min,44,0.007840488095608292,1.0,1.0,100.0,,72655,0.9915628433227539,1.0150532722473145,0.0,0.0,2.0,48.0,50.45351317872135,1000,57.99599838256836,0.12649111449718475,54.0,58.0,58.0,58.0,0.0,32,69.71875,15.153482437133789,66.0,66.0,85.79999999999997,141.0,0.0
min_packet_length,45,0.007063370336737162,1.0,1.0,100.0,,72655,0.9915628433227539,1.0150532722473145,0.0,0.0,2.0,48.0,50.45351317872135,1000,54.0,0.0,54.0,54.0,54.0,54.0,0.0,32,69.71875,15.153482437133789,66.0,66.0,85.79999999999997,141.0,0.0
fwd_iat_min,46,0.006150671461633378,0.016365012731401785,0.016365012731401785,0.0,,72655,131944.59375,2952946.5,0.0,0.0,0.0,120000000.0,98.36349872685982,1000,0.0,0.0,0.0,0.0,0.0,0.0,100.0,32,0.0,0.0,0.0,0.0,0.0,0.0,100.0
min_seg_size_forward,47,0.003872866305186008,0.9945771110040603,0.9945771110040603,0.0,0.625,72655,31.977867126464844,7.9968581199646,0.0,32.0,40.0,40.0,0.005505471061867731,1000,20.0,0.0,20.0,20.0,20.0,20.0,0.0,32,20.0,0.0,20.0,20.0,20.0,20.0,0.0
flow_iat_min,48,0.003614935859593761,0.9986649232674971,0.9986649232674971,0.0,0.0,72655,107.22514343261719,10782.861328125,0.0,49.0,94.0,2226047.0,0.13350767325029247,1000,0.0,0.0,0.0,0.0,0.0,0.0,100.0,32,0.0,0.0,0.0,0.0,0.0,0.0,100.0
bwd_iat_mean,49,0.003509418725286454,0.004996214988644998,0.932503785011355,0.0,,72655,134571.9375,2955050.25,0.0,0.0,0.0,120000000.0,99.5003785011355,1000,0.0,0.0,0.0,0.0,0.0,0.0,100.0,32,0.0013725374592468143,0.0007024890510365367,0.0,0.001344375079497695,0.00242768747266382,0.0029062500689178705,6.25
urg_flag_count,50,0.002070000788314706,4.129103296401926e-05,4.129103296401926e-05,0.0,,72655,4.129103399463929e-05,0.006425721570849419,0.0,0.0,0.0,1.0,99.9958708967036,1000,0.0,0.0,0.0,0.0,0.0,0.0,100.0,32,0.0,0.0,0.0,0.0,0.0,0.0,100.0
bwd_iat_min,51,0.0019961488785581465,0.004996214988644998,0.932503785011355,0.0,,72655,133478.453125,2954458.75,0.0,0.0,0.0,120000000.0,99.5003785011355,1000,0.0,0.0,0.0,0.0,0.0,0.0,100.0,32,0.00016771875380072743,0.00014704886416438967,0.0,0.00013299999409355223,0.00045305000530788676,0.000754999986384064,6.25
bwd_iat_max,52,0.0011563754266246228,0.004996214988644998,0.932503785011355,0.0,,72655,137105.109375,2959799.25,0.0,0.0,0.0,120000000.0,99.5003785011355,1000,0.0,0.0,0.0,0.0,0.0,0.0,100.0,32,0.003638375084847212,0.0021957200951874256,0.0,0.0034920000471174717,0.0072323499014601104,0.008309000171720982,6.25
bwd_iat_total,53,0.0011058594174839001,0.004996214988644998,0.932503785011355,0.0,,72655,137197.625,2960262.25,0.0,0.0,0.0,120000000.0,99.5003785011355,1000,0.0,0.0,0.0,0.0,0.0,0.0,100.0,32,0.005531749688088894,0.0028172736056149006,0.0,0.005404000170528889,0.00971074989065528,0.011625000275671482,6.25
bwd_iat_std,54,0.001068237586149994,0.0013213130548482832,0.9361786869451517,0.0,,72655,1945.7198486328125,99760.0078125,0.0,0.0,0.0,18000000.0,99.86786869451517,1000,0.0,0.0,0.0,0.0,0.0,0.0,100.0,32,0.0013794292462989688,0.0008867392898537219,0.0,0.0012923383619636297,0.0029027957585640246,0.0032666828483343124,6.25
down_up_ratio,55,0.0003500629198723439,0.9869520335833735,0.9869520335833735,0.0,0.5,72655,0.987585186958313,0.11630629748106003,0.0,1.0,1.0,2.0,1.3047966416626522,1000,0.499833345413208,0.005270462483167648,0.3333333432674408,0.5,0.5,0.5,0.0,32,0.7819939851760864,0.20518383383750916,0.0,0.8333333134651184,0.8333333134651184,0.8571428656578064,6.25
active_min,56,0.0002175119719327458,0.0034546830913220195,0.0034546830913220195,0.0,,72655,113.55697631835938,15257.8466796875,0.0,0.0,0.0,2226047.0,99.6545316908678,1000,0.0,0.0,0.0,0.0,0.0,0.0,100.0,32,0.0,0.0,0.0,0.0,0.0,0.0,100.0
idle_max,57,0.00013199431133865296,0.0034546830913220195,0.0034546830913220195,0.0,,72655,137504.234375,2963127.0,0.0,0.0,0.0,120000000.0,99.6545316908678,1000,0.0,0.0,0.0,0.0,0.0,0.0,100.0,32,0.0,0.0,0.0,0.0,0.0,0.0,100.0
idle_min,58,0.00011578306159697398,0.0034546830913220195,0.0034546830913220195,0.0,,72655,137151.890625,2960415.25,0.0,0.0,0.0,120000000.0,99.6545316908678,1000,0.0,0.0,0.0,0.0,0.0,0.0,100.0,32,0.0,0.0,0.0,0.0,0.0,0.0,100.0
fin_flag_count,59,0.00010119931482582572,0.0,0.9375,0.0,,72655,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1000,0.0,0.0,0.0,0.0,0.0,0.0,100.0,32,1.875,0.49186936020851135,0.0,2.0,2.0,2.0,6.25
idle_mean,60,8.63658921337028e-05,0.0034546830913220195,0.0034546830913220195,0.0,,72655,137212.453125,2960671.75,0.0,0.0,0.0,120000000.0,99.6545316908678,1000,0.0,0.0,0.0,0.0,0.0,0.0,100.0,32,0.0,0.0,0.0,0.0,0.0,0.0,100.0
active_mean,61,4.0432845598735986e-05,0.0034546830913220195,0.0034546830913220195,0.0,,72655,120.46491241455078,16188.6474609375,0.0,0.0,0.0,2368532.25,99.6545316908678,1000,0.0,0.0,0.0,0.0,0.0,0.0,100.0,32,0.0,0.0,0.0,0.0,0.0,0.0,100.0
active_std,62,3.5109450359216505e-05,2.7527355309309165e-05,2.7527355309309165e-05,0.0,,72655,6.696909427642822,1305.830078125,0.0,0.0,0.0,295817.90625,99.99724726446907,1000,0.0,0.0,0.0,0.0,0.0,0.0,100.0,32,0.0,0.0,0.0,0.0,0.0,0.0,100.0
fwd_psh_flags,63,3.303870419908219e-05,0.0,0.9375,0.0,,72655,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1000,0.0,0.0,0.0,0.0,0.0,0.0,100.0,32,0.9375,0.24593468010425568,0.0,1.0,1.0,1.0,6.25
