record_type,scenario,v3_flow_count,v4_flow_count,reliably_matched_flows,unmatched_v3,unmatched_v4,orientation_differences,segmentation_boundary_differences,start_timestamp_difference_seconds,matching,v3_header,v4_header,matched_finite_count,exact_equality_percentage,mean_absolute_difference,max_absolute_difference,mean_symmetric_relative_difference,correlation
feature_comparison,portscan-test,,,,,,,,,,SYN Flag Cnt,SYN Flag Count,1000.0,0.0,1.001,2.0,1.0,
feature_comparison,portscan-test,,,,,,,,,,RST Flag Cnt,RST Flag Count,1000.0,0.0,1.0,1.0,1.0,
feature_comparison,portscan-test,,,,,,,,,,PSH Flag Cnt,PSH Flag Count,1000.0,0.0,1.0,1.0,1.0,
feature_comparison,portscan-test,,,,,,,,,,ACK Flag Cnt,ACK Flag Count,1000.0,0.0,1.0,1.0,1.0,
feature_comparison,portscan-test,,,,,,,,,,URG Flag Cnt,URG Flag Count,1000.0,100.0,0.0,0.0,0.0,
feature_comparison,portscan-test,,,,,,,,,,CWE Flag Count,CWR Flag Count,1000.0,100.0,0.0,0.0,0.0,
feature_comparison,portscan-test,,,,,,,,,,ECE Flag Cnt,ECE Flag Count,1000.0,100.0,0.0,0.0,0.0,
feature_comparison,portscan-test,,,,,,,,,,Down/Up Ratio,Down/Up Ratio,1000.0,100.0,0.0,0.0,0.0,1.0
feature_comparison,portscan-test,,,,,,,,,,Pkt Size Avg,Average Packet Size,1000.0,100.0,0.0,0.0,0.0,
feature_comparison,portscan-test,,,,,,,,,,Fwd Seg Size Avg,Fwd Segment Size Avg,1000.0,100.0,0.0,0.0,0.0,
feature_comparison,portscan-test,,,,,,,,,,Bwd Seg Size Avg,Bwd Segment Size Avg,1000.0,100.0,0.0,0.0,0.0,
feature_comparison,portscan-test,,,,,,,,,,Fwd Byts/b Avg,Fwd Bytes/Bulk Avg,1000.0,100.0,0.0,0.0,0.0,
feature_comparison,portscan-test,,,,,,,,,,Fwd Pkts/b Avg,Fwd Packet/Bulk Avg,1000.0,100.0,0.0,0.0,0.0,
feature_comparison,portscan-test,,,,,,,,,,Fwd Blk Rate Avg,Fwd Bulk Rate Avg,1000.0,100.0,0.0,0.0,0.0,
feature_comparison,portscan-test,,,,,,,,,,Bwd Byts/b Avg,Bwd Bytes/Bulk Avg,1000.0,100.0,0.0,0.0,0.0,
feature_comparison,portscan-test,,,,,,,,,,Bwd Pkts/b Avg,Bwd Packet/Bulk Avg,1000.0,100.0,0.0,0.0,0.0,
feature_comparison,portscan-test,,,,,,,,,,Bwd Blk Rate Avg,Bwd Bulk Rate Avg,1000.0,100.0,0.0,0.0,0.0,
feature_comparison,portscan-test,,,,,,,,,,Subflow Fwd Pkts,Subflow Fwd Packets,1000.0,0.0,1.001,2.0,1.0,
feature_comparison,portscan-test,,,,,,,,,,Subflow Fwd Byts,Subflow Fwd Bytes,1000.0,100.0,0.0,0.0,0.0,
feature_comparison,portscan-test,,,,,,,,,,Subflow Bwd Pkts,Subflow Bwd Packets,1000.0,0.0,1.0,1.0,1.0,
feature_comparison,portscan-test,,,,,,,,,,Subflow Bwd Byts,Subflow Bwd Bytes,1000.0,100.0,0.0,0.0,0.0,
feature_comparison,portscan-test,,,,,,,,,,Init Fwd Win Byts,FWD Init Win Bytes,1000.0,100.0,0.0,0.0,0.0,
feature_comparison,portscan-test,,,,,,,,,,Init Bwd Win Byts,Bwd Init Win Bytes,1000.0,100.0,0.0,0.0,0.0,1.0
feature_comparison,portscan-test,,,,,,,,,,Fwd Act Data Pkts,Fwd Act Data Pkts,1000.0,100.0,0.0,0.0,0.0,
feature_comparison,portscan-test,,,,,,,,,,Fwd Seg Size Min,Fwd Seg Size Min,1000.0,100.0,0.0,0.0,0.0,1.0
feature_comparison,portscan-test,,,,,,,,,,Active Mean,Active Mean,1000.0,100.0,0.0,0.0,0.0,
feature_comparison,portscan-test,,,,,,,,,,Active Std,Active Std,1000.0,100.0,0.0,0.0,0.0,
feature_comparison,portscan-test,,,,,,,,,,Active Max,Active Max,1000.0,100.0,0.0,0.0,0.0,
feature_comparison,portscan-test,,,,,,,,,,Active Min,Active Min,1000.0,100.0,0.0,0.0,0.0,
feature_comparison,portscan-test,,,,,,,,,,Idle Mean,Idle Mean,1000.0,100.0,0.0,0.0,0.0,
feature_comparison,portscan-test,,,,,,,,,,Idle Std,Idle Std,1000.0,100.0,0.0,0.0,0.0,
feature_comparison,portscan-test,,,,,,,,,,Idle Max,Idle Max,1000.0,100.0,0.0,0.0,0.0,
feature_comparison,portscan-test,,,,,,,,,,Idle Min,Idle Min,1000.0,100.0,0.0,0.0,0.0,
