comparison,feature,E13-D1_min,E13-D1_q1,E13-D1_median,E13-D1_mean,E13-D1_q3,E13-D1_max,E13-D1_std,E4-frozen-DDoS_min,E4-frozen-DDoS_q1,E4-frozen-DDoS_median,E4-frozen-DDoS_mean,E4-frozen-DDoS_q3,E4-frozen-DDoS_max,E4-frozen-DDoS_std,absolute_median_difference,pooled_standardized_median_difference,robust_median_distance,E13-D2_min,E13-D2_q1,E13-D2_median,E13-D2_mean,E13-D2_q3,E13-D2_max,E13-D2_std,E10-Session-11_min,E10-Session-11_q1,E10-Session-11_median,E10-Session-11_mean,E10-Session-11_q3,E10-Session-11_max,E10-Session-11_std
E13-D1 vs E10-Session-11,idle_max,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E13-D1 vs E10-Session-11,idle_min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E13-D2 vs E10-Session-11,destination_port,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,8080.0,8080.0,8322.87841191067,8080.0,60242.0,3363.692396039822,0.0,8080.0,8080.0,8112.9226932668325,8080.0,42564.0,1250.9987845956937
E13-D2 vs E10-Session-11,flow_duration,,,,,,,,,,,,,,,2928.0,0.07081283498005106,3.2407304925290537,0.0,784.5,4023.0,9454.515508684863,8457.75,1057069.0,58464.10702763856,0.0,76.75,1095.0,1065.2630922693268,1720.5,13283.0,1155.2217666736842
E13-D2 vs E10-Session-11,total_fwd_packets,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,2.0,2.0,2.522952853598015,3.0,6.0,0.7399862197858278,1.0,2.0,2.0,2.5074812967581046,3.0,6.0,0.6519490726143499
E13-D2 vs E10-Session-11,total_backward_packets,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,1.0,2.0688585607940446,4.0,5.0,1.9824425960539689,0.0,0.0,1.0,2.039900249376559,4.0,5.0,1.9795216234491628
E13-D2 vs E10-Session-11,total_length_of_fwd_packets,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,39.314516129032256,79.0,79.0,39.45129189557715,0.0,0.0,0.0,39.401496259351624,79.0,79.0,39.52452608890359
E13-D2 vs E10-Session-11,total_length_of_bwd_packets,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,109.24627791563276,220.0,220.0,109.97674611063124,0.0,0.0,0.0,109.72568578553616,220.0,220.0,110.06830050074417
E13-D2 vs E10-Session-11,fwd_packet_length_max,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,39.314516129032256,79.0,79.0,39.45129189557715,0.0,0.0,0.0,39.401496259351624,79.0,79.0,39.52452608890359
E13-D2 vs E10-Session-11,fwd_packet_length_min,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.043424317617866005,0.0,35.0,1.2324397330889272,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E13-D2 vs E10-Session-11,fwd_packet_length_mean,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,12.637417558405003,26.33333396911621,35.0,12.792545450624608,0.0,0.0,0.0,12.838321168329179,26.333334,26.333334,12.951223381056673
E13-D2 vs E10-Session-11,fwd_packet_length_std,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,22.205807347451486,45.61067199707031,45.61067199707031,22.37644301457407,0.0,0.0,0.0,22.47275173815461,45.610672,45.610672,22.579604001897273
E13-D2 vs E10-Session-11,bwd_packet_length_max,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,91.87655086848635,185.0,185.0,92.47375668665966,0.0,0.0,0.0,92.26932668329177,185.0,185.0,92.55743451198941
E13-D2 vs E10-Session-11,bwd_packet_length_min,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.06513647642679901,0.0,35.0,1.5089554042949556,0.0,0.0,0.0,0.0,0.0,0.0,0.0
